,,,,,Submission Delinquency Report
,Run Date:,,2023-01-03
,For:,,Year: 22, Period: 3, Week: 5
,Filter For all units

Sector,Unit #,Fiscal Year,Period,Week,UserName - Purchases,Date Purchases Submitted,Username - Sales,Date Sales Submitted,Data Entered (Y/N), Forced Submission
02,11039,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11041,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11042,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11044,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11045,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11046,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11047,22,3,5,allison.vanhoutte,12/26/2022 10:09:52 PM,allison.vanhoutte,12/26/2022 10:10:04 PM,N,N
02,11048,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11100,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11123,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11125,22,3,5,linda.bourne,12/26/2022 9:33:23 AM,linda.bourne,12/26/2022 9:33:34 AM,N,N
02,11126,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11127,22,3,5,linda.bourne,12/26/2022 9:37:08 AM,linda.bourne,12/26/2022 9:37:18 AM,N,N
02,11128,22,3,5,linda.bourne,12/26/2022 9:40:20 AM,linda.bourne,12/26/2022 9:40:29 AM,N,N
02,11129,22,3,5,linda.bourne,12/26/2022 9:43:03 AM,linda.bourne,12/26/2022 9:43:11 AM,N,N
02,11132,22,3,5,linda.bourne,12/26/2022 9:46:00 AM,linda.bourne,12/26/2022 9:46:10 AM,N,N
02,11134,22,3,5,linda.bourne,12/26/2022 9:48:39 AM,linda.bourne,12/26/2022 9:48:47 AM,N,N
02,11220,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11225,22,3,5,linda.bourne,12/26/2022 9:51:13 AM,linda.bourne,12/26/2022 9:51:21 AM,N,N
02,11227,22,3,5,linda.bourne,12/26/2022 9:53:19 AM,linda.bourne,12/26/2022 9:53:28 AM,N,N
